All   channel acquired
Date[dd-mm-yy]= 01-11-22   Time= 17:10:36
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  3.943700	     0.030	     0.000	    -0.060	     0.067
  3.955000	     0.010	     0.010	    -0.080	     0.081
  3.966300	     0.020	     0.000	    -0.070	     0.073
  3.977600	     0.030	     0.000	    -0.070	     0.076
  3.988900	     0.020	     0.010	    -0.070	     0.073
  4.000200	     0.030	     0.010	    -0.090	     0.095
  4.011500	     0.040	     0.000	    -0.090	     0.098
  4.022800	     0.030	     0.010	    -0.090	     0.095
  4.034100	     0.030	     0.000	    -0.090	     0.095
  4.045400	     0.040	    -0.010	    -0.100	     0.108
  4.056700	     0.040	    -0.010	    -0.090	     0.099
  4.068000	     0.040	    -0.010	    -0.080	     0.090
  4.079300	     0.030	     0.000	    -0.080	     0.085
  4.090600	     0.020	     0.020	    -0.080	     0.085
  4.101900	     0.040	     0.000	    -0.100	     0.108
  4.113200	     0.040	     0.000	    -0.080	     0.089
  4.124500	     0.040	     0.010	    -0.100	     0.108
  4.135800	     0.010	     0.000	    -0.080	     0.081
  4.147100	     0.010	     0.020	    -0.090	     0.093
  4.158400	     0.050	     0.010	    -0.070	     0.087
  4.169700	     0.030	     0.010	    -0.100	     0.105
  4.181000	     0.020	     0.010	    -0.080	     0.083
  4.192300	     0.020	     0.010	    -0.080	     0.083
  4.203600	     0.020	     0.010	    -0.080	     0.083
  4.214900	     0.040	     0.010	    -0.090	     0.099
  4.226200	     0.040	     0.000	    -0.110	     0.117
  4.237500	     0.040	     0.020	    -0.080	     0.092
  4.248800	     0.030	     0.000	    -0.090	     0.095
  4.260100	     0.040	     0.010	    -0.110	     0.117
  4.271400	     0.030	     0.010	    -0.090	     0.095
  4.282700	     0.010	     0.000	    -0.080	     0.081
  4.294000	     0.030	    -0.010	    -0.100	     0.105
  4.305300	     0.030	     0.000	    -0.080	     0.085
  4.316600	     0.020	    -0.010	    -0.090	     0.093
  4.327900	     0.030	     0.010	    -0.080	     0.086
  4.339200	     0.020	     0.020	    -0.080	     0.085
  4.350500	     0.030	     0.010	    -0.080	     0.086
  4.361800	     0.030	     0.000	    -0.100	     0.104
  4.373100	     0.030	     0.020	    -0.080	     0.088
  4.384400	     0.040	     0.000	    -0.090	     0.098
  4.395700	     0.030	     0.010	    -0.070	     0.077
  4.407000	     0.030	     0.020	    -0.080	     0.088
  4.418300	     0.040	     0.020	    -0.100	     0.110
  4.429600	     0.030	     0.010	    -0.090	     0.095
  4.440900	     0.030	     0.010	    -0.070	     0.077
  4.452200	     0.030	     0.000	    -0.090	     0.095
  4.463500	     0.040	     0.010	    -0.080	     0.090
  4.474800	     0.030	     0.010	    -0.080	     0.086
  4.486100	     0.020	     0.020	    -0.090	     0.094
  4.497400	     0.020	     0.010	    -0.080	     0.083
  4.508700	     0.030	     0.010	    -0.080	     0.086
  4.520000	     0.020	     0.020	    -0.100	     0.104
  4.531300	     0.010	     0.020	    -0.090	     0.093
  4.542600	     0.020	     0.010	    -0.100	     0.102
  4.553900	     0.030	     0.010	    -0.100	     0.105
  4.565200	     0.030	     0.010	    -0.080	     0.086
  4.576500	     0.030	     0.010	    -0.090	     0.095
  4.587800	     0.030	     0.010	    -0.070	     0.077
  4.599100	     0.030	     0.030	    -0.080	     0.091
  4.610400	     0.030	     0.020	    -0.090	     0.097
  4.621700	     0.030	     0.000	    -0.090	     0.095
  4.633000	     0.030	     0.020	    -0.080	     0.088
  4.644300	     0.040	     0.010	    -0.090	     0.099
  4.655600	     0.040	     0.010	    -0.090	     0.099
  4.666900	     0.010	     0.010	    -0.080	     0.081
  4.678200	     0.010	     0.010	    -0.060	     0.062
  4.689500	     0.040	     0.020	    -0.080	     0.092
  4.700800	     0.040	     0.000	    -0.090	     0.098
  4.712100	     0.030	     0.000	    -0.080	     0.085
  4.723400	     0.030	     0.020	    -0.070	     0.079
  4.734700	     0.030	     0.000	    -0.090	     0.095
  4.746000	     0.030	     0.000	    -0.090	     0.095
  4.757300	     0.030	     0.010	    -0.070	     0.077
  4.768600	     0.010	     0.020	    -0.110	     0.112
  4.779900	     0.010	     0.000	    -0.070	     0.071
  4.791200	     0.030	     0.000	    -0.100	     0.104
  4.802500	     0.020	     0.010	    -0.100	     0.102
  4.813800	     0.040	     0.000	    -0.100	     0.108
  4.825100	     0.040	     0.000	    -0.100	     0.108
  4.836400	     0.030	     0.000	    -0.100	     0.104
  4.847700	     0.020	     0.000	    -0.100	     0.102
  4.859000	     0.020	     0.000	    -0.100	     0.102
  4.870300	     0.020	     0.000	    -0.090	     0.092
  4.881600	     0.000	     0.000	    -0.080	     0.080
  4.892900	     0.020	     0.010	    -0.090	     0.093
  4.904200	     0.020	     0.000	    -0.090	     0.092
  4.915500	     0.020	     0.010	    -0.080	     0.083
  4.926800	     0.030	     0.010	    -0.090	     0.095
