All   channel acquired
Date[dd-mm-yy]= 20-10-22   Time= 15:15:17
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  2.051760	    -0.040	    -0.030	    -0.020	     0.054
  2.058400	     0.000	    -0.010	     0.000	     0.010
  2.065040	    -0.010	     0.020	    -0.020	     0.030
  2.071680	     0.000	    -0.020	     0.020	     0.028
  2.078320	     0.020	    -0.020	    -0.050	     0.057
  2.084960	     0.000	     0.000	    -0.020	     0.020
  2.091600	     0.010	    -0.010	    -0.030	     0.033
  2.098240	    -0.010	    -0.010	     0.010	     0.017
  2.104880	    -0.010	    -0.010	     0.040	     0.042
  2.111520	    -0.010	    -0.020	     0.020	     0.030
  2.118160	     0.000	     0.000	    -0.030	     0.030
  2.124800	     0.000	     0.000	    -0.020	     0.020
  2.131440	     0.000	    -0.030	    -0.020	     0.036
  2.138080	    -0.020	    -0.010	    -0.020	     0.030
  2.144720	    -0.010	     0.010	    -0.020	     0.024
  2.151360	    -0.010	    -0.020	     0.010	     0.024
  2.158000	    -0.010	    -0.020	     0.000	     0.022
  2.164640	    -0.020	     0.000	     0.000	     0.020
  2.171280	    -0.020	     0.020	    -0.010	     0.030
  2.177920	    -0.010	    -0.010	    -0.050	     0.052
  2.184560	    -0.010	    -0.030	     0.000	     0.032
  2.191200	    -0.030	    -0.030	     0.000	     0.042
  2.197840	     0.000	     0.010	    -0.060	     0.061
  2.204480	    -0.040	    -0.030	     0.000	     0.050
  2.211120	    -0.040	    -0.010	    -0.070	     0.081
  2.217760	    -0.040	     0.010	    -0.010	     0.042
  2.224400	    -0.020	    -0.010	    -0.030	     0.037
  2.231040	    -0.020	     0.010	     0.000	     0.022
  2.237680	     0.000	     0.000	    -0.080	     0.080
  2.244320	     0.010	     0.000	     0.000	     0.010
  2.250960	    -0.020	     0.010	    -0.020	     0.030
  2.257600	    -0.020	     0.000	    -0.050	     0.054
  2.264240	    -0.020	     0.000	    -0.020	     0.028
  2.270880	    -0.030	    -0.020	    -0.050	     0.062
  2.277520	    -0.030	     0.040	    -0.010	     0.051
  2.284160	    -0.010	    -0.050	    -0.020	     0.055
  2.290800	    -0.010	    -0.020	    -0.050	     0.055
  2.297440	    -0.030	     0.000	    -0.050	     0.058
  2.304080	     0.000	     0.000	    -0.070	     0.070
  2.310720	    -0.030	     0.010	     0.000	     0.032
  2.317360	     0.000	    -0.030	    -0.010	     0.032
  2.324000	    -0.020	     0.000	     0.000	     0.020
  2.330640	    -0.010	     0.000	    -0.020	     0.022
  2.337280	     0.000	     0.020	    -0.020	     0.028
  2.343920	    -0.020	     0.010	    -0.050	     0.055
  2.350560	     0.000	     0.010	    -0.020	     0.022
  2.357200	    -0.020	     0.010	    -0.050	     0.055
  2.363840	    -0.010	     0.010	    -0.020	     0.024
  2.370480	    -0.010	    -0.010	     0.000	     0.014
  2.377120	     0.000	    -0.010	    -0.050	     0.051
  2.383760	     0.000	     0.000	    -0.010	     0.010
  2.390400	     0.010	    -0.010	    -0.020	     0.024
  2.397040	     0.020	    -0.030	    -0.020	     0.041
  2.403680	     0.020	     0.010	    -0.010	     0.024
  2.410320	    -0.010	    -0.010	    -0.030	     0.033
  2.416960	     0.000	     0.000	     0.000	     0.000
  2.423600	     0.010	     0.000	    -0.010	     0.014
  2.430240	    -0.020	     0.020	    -0.020	     0.035
  2.436880	    -0.010	    -0.020	    -0.050	     0.055
  2.443520	     0.010	    -0.030	    -0.030	     0.044
  2.450160	    -0.030	    -0.020	    -0.060	     0.070
  2.456800	     0.010	    -0.010	     0.010	     0.017
  2.463440	     0.010	    -0.030	    -0.030	     0.044
  2.470080	    -0.010	    -0.020	     0.000	     0.022
